內部代號,印刷編號,說明
荷-42,3-305,
荷-43,3-84、3-107、3-109,
荷-44,,
荷-45,3-103,已併入「船子草」
荷-46,3-103,
荷-47,3-242,
荷-48,3-146,
荷-49,3-270,
荷-50,3-106、4-325,
荷-51,3-298,
荷-52,3-302,
荷-53,3-311,
荷-54,3-292,
荷-55,3-321,
荷-56,3-309,
荷-57,3-268,
荷-58,3-234,
荷-59,3-145,
荷-60,3-85,
荷-61,3-357,
荷-62,3-263,
荷-63,3-152,
荷-64,3-134,
荷-65,3-294,
荷-66,3-96,
荷-67,3-306,
荷-68,3-296,
荷-69,3-98,
荷-70,3-323,
荷-71,,
荷-72,3-237,
荷-73,3-261,
荷-74,3-142,
荷-75,3-241,
荷-76,3-359,
荷-77,1-244,
荷-78,2-24、3-307,
荷-79,3-233,
荷-80,1-140,
荷-81,3-232,
荷-82,3-295,
荷-83,3-290,
荷-84,3-101,
荷-85,3-99,
荷-86,3-94,
荷-87,3-301、4-174,已併入「葉氏坡油甘」
荷-88,3-258、3-349,
荷-89,3-239,
荷-90,3-136,
荷-91,3-356,
荷-92,3-288,
荷-93,3-267,
荷-94,3-203,
荷-95,3-308,
荷-96,3-238,
荷-97,3-322,
荷-98,3-110,
荷-99,3-324,
蕨-01,2-172、4-222,
蕨-02,2-159、2-246,
蕨-03,2-184,
蕨-04,2-251,
蕨-05,2-245,
蕨-06,2-190,
蕨-07,,
蕨-08,3-185,
蕨-09,,
蕨-10,2-161,
蕨-11,2-171,
蕨-12,2-248,
蕨-13,2-155、2-208,
蕨-14,2-241,
蕨-15,4-32,
蕨-16,,
蕨-17,2-253,
蕨-18,2-247,已併入「蟠龍石斛蘭」
蕨-19,2-247,
蕨-20,2-167,
蕨-21,2-191,
蕨-22,3-76,
蕨-23,2-250,
蕨-24,2-185,
蕨-25,2-188,
蕨-26,,
蕨-27,2-300,
蕨-28,2-249,
蕨-29,2-158,
蕨-30,2-265,
蕨-31,2-192,
蕨-32,,
蕨-33,2-189,
蕨-34,2-243,
蕨-35,,
蕨-36,,
蕨-37,,
蕨-38,2-252,
蕨-39,,
蕨-40,,
蕨-41,,
蕨-42,,
蕨-43,,
蕨-44,2-186,
蕨-45,,
蕨-46,2-193,
蕨-47,2-244,
蕨-48,2-156,
蕨-49,2-101,
蕨-50,,
蕨-51,,
蕨-52,2-187,
蕨-53,2-242,
蕨-54,2-151,
蕨-55,2-160,
蕨-56,,
蕨-57,,
蕨-58,,
蕨-59,,
蕨-60,,
蕨-61,,
蕨-62,,
蕨-63,,
蕨-64,,
蕨-65,,
蕨-66,,
蕨-67,,
蕨-68,,
蕨-69,,
蕨-70,,
蕨-71,,
蕨-72,,
蕨-73,,
蕨-74,,
蕨-75,,
蕨-76,,
薑-01,4-79,
薑-02,4-123,
薑-03,4-159,
薑-04,4-81,已併入「茶匙癀」
薑-05,,
薑-06,4-155,
薑-07,4-245,
薑-08,4-247,
薑-09,4-141,
薑-10,4-283,
薑-100,,
薑-101,4-126,
薑-102,4-272,
薑-11,4-284,
薑-12,4-237,
